id,text,created_at,user_id,retweet_count,username,user_desc,location,verified
1494099264024322050,RT @HuhConH: Famosos y deportistas comprando pasaportes Covid falsos. Una pandemia en la que en vez de comprar vacunas para evitar los prob…,2022-02-16T23:59:58.000Z,245136561,745,JXts_4,,,False
1494099260849147906,"@OMARSAN17087279 @rubengluengas En biología y en medicina, los términos ""ninguno"" y ""todos"" son muy peligrosos (más aún resaltarlos en mayúsculas). Es cierto que la vacuna no previene la infección, pero disminuye considerablemente el riesgo de hospitalización y de muerte por Covid-19",2022-02-16T23:59:57.000Z,150556228,0,pepemoreno49,"Médico, investigador en inmunología básica.",Cuernavaca,False
1494099256092905475,RT @eliclebe: The Brazilian President’s Latest Sabotage Efforts Have Failed https://t.co/ReAwxgaaA0,2022-02-16T23:59:56.000Z,813481427627102209,2,eliclebe,O governo Bolsonaro è ruim? Em 2022 vai ser pior se for reeleito.,"São Paulo das Missões, Brasil",False
1494099264884154369,"RT @disclosetv: NEW - Klaus Schwab's World Economic Forum says ""the COVID 19 pandemic has led to a heightened focus on the power of medical…",2022-02-16T23:59:58.000Z,1408891063906062338,6746,Willow_crying,,United Kingdom,False
1494099254855573511,"COVID test available today at CVS (15718 Hawthorne Boulevard Nec, Lawndale, CA 90260) at 02:10PM 02:50PM 03:10PM 03:20PM 03:30PM 03:40PM 03:50PM 04:10PM 04:30PM 04:40PM 04:50PM 05:10PM : https://t.co/mFPI8pFvLN",2022-02-16T23:59:56.000Z,1325831453373059072,0,LATestsWatch,LA COVID tests watch,"Los Angeles, CA",False
1494099262929580037,"RT @GloriaFlorezSI: ""Según la FAO, el único país de Sudamérica al borde de una hambruna es Colombia. Esto pasa porque aquí hay un virus peo…",2022-02-16T23:59:57.000Z,1219458657659822081,25,JHolasoy,Militante de la Colombia Humana Unión Patriotica consejero de juventud electo por 460 jóvenes junto a mi compañera Laura Doncel somos Fontibón Humana 💜💚💛,Bogota ,False
1494099260245090305,RT @latimes: Actor Shailene Woodley and football player Aaron Rodgers have reportedly parted ways after a yearlong engagement and a media f…,2022-02-16T23:59:57.000Z,1083991254491230208,9,Cmiller5391,"I am a Christ Centered Actor and a Talent Developer in Los Angeles, California 🇺🇸  Check me out on Google at CLM* Enterprises LLC. 🌐 Open 24 hrs.⚖️",United States,False
1494099268646412291,"RT @JohnFraserOS: Vaccines Do Matter. 

My statement on @fordnation's dangerous game: https://t.co/PSf69tyidM",2022-02-16T23:59:59.000Z,142099977,588,IrishmanShaner,"Operations leader, chef, husband, dad. I am Canadian 🇨🇦 w Irish roots. #Food 🥘 #Travel 🌎 #Movies 🎥 #AvGeek ✈️ #Bacon 🥓. Opinions & onions are my own.","Waterdown, Ontario, Canada",False
1494099258005282816,"RT @yazidmuawi: Ketua DPD RI, AA LaNyalla Mahmud Mattalitti, memberikan dukungan kepada Kadin Jawa Timur yg optimis ekonomi akan tumbuh di…",2022-02-16T23:59:56.000Z,1484380511447699457,8,adibaprayoga,Pensiunan Anak Gunung • Pengusaha,Jakarta Capital Region,False
1494099262787010560,"RT @NickWilliams_98: Midterm elections are killing Covid quicker than the vaccines, masks, &amp; restrictions. 🤷🏾‍♂️🧐",2022-02-16T23:59:57.000Z,1419415815468855299,14810,MrDub0983,"Gym Guy 💪🏼 , Combat Sports Fan 👊🏼, Astros 🌟, Longhorns 🤘🏼🤘🏼,Rockets 🚀, Texans , Space is dope, 👻 kyle_w1940, RIP KGB 🙏🏼❤️",Everywhere,False
1494099265949511686,RT @SonoKari: Para paciente con covid se solicita clexane 60mg si alguno de uds tiene en su casa y pueden donarlo me escriben #Maracaibo ht…,2022-02-16T23:59:58.000Z,4824533249,59,arulagarcia,,,False
1494099259603361794,RT @TorranceEddie: Someone please explain to me how more people died from Covid in a year in which we had a vaccine than did in the previou…,2022-02-16T23:59:57.000Z,972811,4540,Harlem,"America First! Patriot. MAGA. $XRP, $VET, $HBAR, $HOT, $XLM, $ALGO, $SHIB, $SNDL $AMC just to name a few. LOVE CONQUERS ALL. Beware, I'm a conspiracy theorist.",The Universe,False
1494099252372729856,"RT @devisridhar: Latest ONS estimate on COVID infection in the UK indicate omicron still circulating at high level: 1 in 20 in England, 1 i…",2022-02-16T23:59:55.000Z,1202650493991997440,845,MariEdinburgh,Self-determination. Reviewing the options 🏴󠁧󠁢󠁳󠁣󠁴󠁿,"Scotland, United Kingdom",False
1494099263424499717,RT @RepAndyBiggsAZ: Who would have thought the cure to COVID would be the mid-term elections.,2022-02-16T23:59:58.000Z,3059277614,5481,kmwhorton,,Nomad,False
1494099266150846464,"#Coronavirus #Covid_19 😷🦠 Point situation le 16 Fév 2022
▪️21623887 (PCR &amp; AG)
▪️30578 hospitalisés *⚠️⚠️1975 hospita. en 24h
▪️3126 en réanimation *⚠️⚠️207 entrées en réa en 24h
▪️107913 décédés hôpital (+244)
Pas de chiffrage ESMS▪️DCD 135855
🇫🇷 TI =1367↘️
#RestezPrudent https://t.co/91ClTopuKK",2022-02-16T23:59:58.000Z,391615387,1,iffo_rme,Compte twitter officiel de l'Institut français des formateurs risques majeurs et protection de l'environnement,75 Paris - France,False
1494099256038367239,"BREAKING: @US_FDA Executive Officer on Hidden Cam Reveals Future COVID policy
 
“@JoeBiden wants to inoculate as many people as possible”

'You’ll have to get an annual shot'
 
""They're[FDA] not going to not approve it”
 
#ExposeFDA https://t.co/HfhlhBaZKZ",2022-02-16T23:59:56.000Z,27024410,0,urbanwind,"Alchemist, Healer, Trainer, Coach; teaching the Healing Arts of Energy, Vibration and Frequency.",USA ,False
1494099253182058496,"RT @KrissyB007: 💥💥 BREAKING 💥💥

@US_FDA Executive Officer on Hidden Cam Reveals Future COVID policy 

“@JoeBiden wants to inoculate as many…",2022-02-16T23:59:55.000Z,2727185698,69,75Mcquillan,"Christian, husband, father, brother, granddad, conservative, hopeful our great nation can endure.
MAGA! TRUMP'S ARMY!","Taylor, Texas",False
1494099264326176771,"RT @journalismjenna: #BREAKING 

Hours ago, IL lawmakers voted AGAINST extending @GovPritzker emergency rules for enforcing masks, vaccines…",2022-02-16T23:59:58.000Z,3317155550,2516,Erikamt082015,"Resolve to serve no more, and you are at once freed...",,False
1494099253672624128,RT @beverleyturner: Seems like a perfect day to remind you of just how corrupt the #jcvi are...Do not let these people decide about your ch…,2022-02-16T23:59:55.000Z,3232134937,311,ClareS74222484,.,,False
1494099257388851200,RT @taebokkiii: Taehyung got diagnosed with Covid-19 tonight. This is so messed up what is happening 😭 I hope he get well soon please. http…,2022-02-16T23:59:56.000Z,1287040044600102914,318,rina19_19,BTS 💜❤️,,False
1494099268256559104,RT @DGHisham: Kadar kebolehjangkitan Covid-19 atau Ro/Rt pada jangkaan mengikut kes seharian pada 16 hb Feb 2022 untuk seluruh negara adala…,2022-02-16T23:59:59.000Z,3405666079,56,Johnny_Banger45,"24 years old (Ketua Keluarga) 👨
The idealism of the heart that I still can't tell you.
Trainee at @umwofficial
https://t.co/lkDis4rSTI",Kuala Lumpur Federal Territory,False
1494099269476827144,"RT @revistaoeste: CPI da Covid não entregou provas, diz Augusto Aras https://t.co/UYF9YbOKSM",2022-02-16T23:59:59.000Z,1395340702318485504,1039,LaziamTrue,"Administrador de Empresas com ênfase em Análise de Sistemas, Empresário de Informática e Telecomunicações.",,False
1494099261918789633,a year later ppl still think vaccines prevent diseases huh https://t.co/4vwI5tcL7z,2022-02-16T23:59:57.000Z,780614367775645696,1,AdultKudi,kickin incredibly dope shit,he/they 22 htx,False
1494099261683814400,"RT @AdolfoP_Oficial: #16Feb Desarrollamos la Jornada de Desinfección, Limpieza y Embellecimiento nro 97 en el Hospital José María Bengoa de…",2022-02-16T23:59:57.000Z,272474209,21,Educacionlara,"Cuenta Oficial de la Secretaría de Educación, Cultura, Deporte y Recreación del @gobiernodelara",Barquisimeto-Edo Lara,False
1494099263617486857,"RT @fauchonmathieu: Vivre avec le choléra. Sans traiter la source du problème.

Les pays où il n'y en a plus: là où on a traité la source d…",2022-02-16T23:59:58.000Z,1039862404807573504,3,TommyCamillo,,,False
1494099266041618432,@CyrusKublai @DrAlfredMutua @governorkibwana @mamangilu @MutuseMwengi I currently live in US (the richest and powerful country) where social welfare system is equally very strong. It has been proven relevant more so during this covid19 pandemic . If you are from the village kindly refresh your ignorance.,2022-02-16T23:59:58.000Z,270388457,0,Kenodhiss,Father/Husband/Humanitarian/Peacelover,,False
1494099265135648772,"RT @MichaelPSenger: The response to COVID has caused the sharpest increase in poverty in over three decades, with the number in extreme pov…",2022-02-16T23:59:58.000Z,4706373127,750,PatrioticPurple,"Engineer and business woman. Immigrant from Asia. Passionate about the Constitution, equal opportunity, and liberty and justice for all.",,False
1494099252225708032,RT @eeveepacini: &amp; covid + other circumstances of this specific time period have come together to create a unique generation with unique pr…,2022-02-16T23:59:55.000Z,2526637759,4,atmyconvenience,but i come back stronger than a 90's trend ♡,likeuinterlude's backup,False
1494099258064187392,"RT @SelfHarmRes: THE
CRISIS
FOR
CHILDREN
IS 
MENTAL 
HEALTH
NOT 
COVID

WHY 
WON’T 
YOU
LISTEN 

@sajidjavid",2022-02-16T23:59:56.000Z,964812123640647687,427,wetbadgers,"Get boosted - Get fucked. Fight against the assault on Freedom, join the UK Convoy.","South east Cornwall, England",False
1494099259699965953,What if #COVID19 was as downright nasty as this squalor? @benyt @TweetBenMax @CBSNewYork @1010WINS @erinmdurkin @courtneycgross @chayesmatthew @SallyGold https://t.co/cpVX0uXWJZ,2022-02-16T23:59:57.000Z,1228049846013222920,0,navy31vet,,,False
1494099254662598664,"Na frente do Leão Putin o genocida miliciano virou gatinho, homenageou soldado comunista, fez uma bateria de testes de Covid-19 e até máscara usou. Quem te viu, quem te vê, hem bundão?",2022-02-16T23:59:55.000Z,46137658,0,elvecioandrade,"Escritor, jornalista, radialista, blogueiro e advogado",Brasil,False
1494099261058781185,"@rcdlv1 @joncoopertweets New studies show that the COVID vaccines damage your immune system, likely permanently https://t.co/SvHTa96hPP",2022-02-16T23:59:57.000Z,315690250,0,vandman777,"#Guardian Student of the Arts! I am grey, I stand between the shadow and the light. I seek Equilibrium, Balance #TheGreyCouncil #TwoPartyIllusion ☯",The Planet Earth,False
1494099260337389572,"RT @CellPressNews: ""SARS-CoV-2 vaccination induces immunological T cell memory able to cross-recognize variants from Alpha to Omicron"" - Re…",2022-02-16T23:59:57.000Z,1115808462284263424,27,ZichangXu,,"Suita-shi, Osaka",False
1494099255983841284,RT @drandrewb: when people keep saying “we need to learn to live with covid” without also calling for major public investments to protect p…,2022-02-16T23:59:56.000Z,69647636,1883,peterjanes,he/him,,False
1494099254234783746,"BREAKING: @US_FDA Executive Officer on Hidden Cam Reveals Future COVID policy

“@JoeBiden wants to inoculate as many people as possible”

'You’ll have to get an annual shot'

""They're[FDA] not going to not approve it”

#ExposeFDA https://t.co/03VXqiWgop",2022-02-16T23:59:55.000Z,1315125037,2,Pretzlogic,,,False
1494099260316467203,"RT @pycon: ⏳ 📆  As we count down to #PyConUS2022, we want to talk about COVID-19 and the changes we've made to accommodate. We hope this sh…",2022-02-16T23:59:57.000Z,1454036260062908417,19,vbello_tech,I love tech. Currently learning more about  software engineering and developing my backend skills. Python 💓django💓,,False
1494099258202546181,"RT @JamesWoodfield: @MarcusFitzsimon Forget herd immunity, let’s go for herd culling. If you’re not immune, tough. If you’re black, brown,…",2022-02-16T23:59:56.000Z,1278335004779712512,93,SylviaPye,"Blairites, Starmerites & Centre whatevers, please kindly move on, I'm clearly not your type, I'm a socialist!
Like/Retweets not endorsements.
#GTTO #FBPPR 🇵🇸",London,False
1494099260811452416,RT @wentfartin7: @Mpeek71 @DylanMasondbk @BodieMaga @carolyn_canada_ Not joking I am sure.  Covid lovers are obsessed with this nonsense.…,2022-02-16T23:59:57.000Z,1312908267568476160,1,BodieMaga,"my version of truth is also yours, like it or not. I won't sugar coat your stupidity. Put in term limits and make special interest money illegal problem solved",,False
1494099253941129216,RT @EpochTimesCan: “It is with a heavy heart I am announcing I have stepped down as Chief of the Ottawa Police Service.”#Ottawa police chie…,2022-02-16T23:59:55.000Z,1407775534428299266,33,MikeRic37008760,,,False
1494099264200482818,RT @latimes: Actor Shailene Woodley and football player Aaron Rodgers have reportedly parted ways after a yearlong engagement and a media f…,2022-02-16T23:59:58.000Z,1255848224574763009,9,bites_sound,A 🤖 curating news that keeps you informed without getting you down,,False
1494099255702687745,"Reminder to follow @mujeresenaccion831 @montereycountybhc to find out where the Community Health Workers will be administering FREE COVID-19 tests.🦠🩺😷 

There is various sites throughout Monterey County. 

#covid19 #ɢᴇᴛᴠᴀᴄᴄɪɴᴀᴛᴇᴅ #montereycounty https://t.co/R3FmhK56AO",2022-02-16T23:59:56.000Z,226369045,0,BHCMontereyCty,"Building Healthy Communities - East Salinas supports the development of places where children are healthy, happy, and ready to learn. ✊🏽❤️",East Salinas,False
1494099259074891779,"@bobbieskates Wow, tough week for you…Covid, pimples and VD 😳😂",2022-02-16T23:59:57.000Z,1390526345231224832,0,Mark_from_Newy,🍺+🐶+ sport = happy Mark,"Newcastle, New South Wales",False
1494099259368493057,"RT @NickWilliams_98: Midterm elections are killing Covid quicker than the vaccines, masks, &amp; restrictions. 🤷🏾‍♂️🧐",2022-02-16T23:59:57.000Z,1417895286882504704,14810,Vamos_Brandon,"AZ native, US Army vet., Conservative, firm believer 2A, lifetime NRA member",Arizona,False
